stock_name,window_size,train_start,train_end,learn_iteration,model_name,add_all,total_profit
AMD,10,2020-01-01,2023-06-01,100,A2C,True,0.45
AMD,10,2020-01-01,2023-06-01,100,A2C,False,0.36
AMD,10,2020-01-01,2023-06-01,1000,A2C,True,0.51
AMD,10,2020-01-01,2023-06-01,1000,A2C,False,0.51
AMD,10,2020-01-01,2023-06-01,10000,A2C,True,0.77
AMD,10,2020-01-01,2023-06-01,10000,A2C,False,0.35
AMD,10,2020-01-01,2023-06-01,100,PPO,True,0.4
AMD,10,2020-01-01,2023-06-01,100,PPO,False,0.69
AMD,10,2020-01-01,2023-06-01,1000,PPO,True,0.4
AMD,10,2020-01-01,2023-06-01,1000,PPO,False,0.69
AMD,10,2020-01-01,2023-06-01,10000,PPO,True,0.42
AMD,10,2020-01-01,2023-06-01,10000,PPO,False,0.46
AMD,10,2020-01-01,2023-06-01,100,DQN,True,0.97
AMD,10,2020-01-01,2023-06-01,100,DQN,False,0.72
AMD,10,2020-01-01,2023-06-01,1000,DQN,True,0.47
AMD,10,2020-01-01,2023-06-01,1000,DQN,False,0.55
AMD,10,2020-01-01,2023-06-01,10000,DQN,True,0.6
AMD,10,2020-01-01,2023-06-01,10000,DQN,False,0.65
AMD,30,2020-01-01,2023-06-01,100,A2C,True,0.59
AMD,30,2020-01-01,2023-06-01,100,A2C,False,0.44
AMD,30,2020-01-01,2023-06-01,1000,A2C,True,0.55
AMD,30,2020-01-01,2023-06-01,1000,A2C,False,0.5
AMD,30,2020-01-01,2023-06-01,10000,A2C,True,0.53
AMD,30,2020-01-01,2023-06-01,10000,A2C,False,0.66
AMD,30,2020-01-01,2023-06-01,100,PPO,True,0.49
AMD,30,2020-01-01,2023-06-01,100,PPO,False,0.51
AMD,30,2020-01-01,2023-06-01,1000,PPO,True,0.49
AMD,30,2020-01-01,2023-06-01,1000,PPO,False,0.51
AMD,30,2020-01-01,2023-06-01,10000,PPO,True,0.57
AMD,30,2020-01-01,2023-06-01,10000,PPO,False,0.63
AMD,30,2020-01-01,2023-06-01,100,DQN,True,0.57
AMD,30,2020-01-01,2023-06-01,100,DQN,False,0.75
AMD,30,2020-01-01,2023-06-01,1000,DQN,True,0.7
AMD,30,2020-01-01,2023-06-01,1000,DQN,False,0.59
AMD,30,2020-01-01,2023-06-01,10000,DQN,True,0.78
AMD,30,2020-01-01,2023-06-01,10000,DQN,False,0.81
AMD,50,2020-01-01,2023-06-01,100,A2C,True,0.53
AMD,50,2020-01-01,2023-06-01,100,A2C,False,0.84
AMD,50,2020-01-01,2023-06-01,1000,A2C,True,0.84
AMD,50,2020-01-01,2023-06-01,1000,A2C,False,0.62
AMD,50,2020-01-01,2023-06-01,10000,A2C,True,0.61
AMD,50,2020-01-01,2023-06-01,10000,A2C,False,0.72
AMD,50,2020-01-01,2023-06-01,100,PPO,True,0.74
AMD,50,2020-01-01,2023-06-01,100,PPO,False,0.53
AMD,50,2020-01-01,2023-06-01,1000,PPO,True,0.74
AMD,50,2020-01-01,2023-06-01,1000,PPO,False,0.53
AMD,50,2020-01-01,2023-06-01,10000,PPO,True,0.6
AMD,50,2020-01-01,2023-06-01,10000,PPO,False,0.61
AMD,50,2020-01-01,2023-06-01,100,DQN,True,0.37
AMD,50,2020-01-01,2023-06-01,100,DQN,False,0.92
AMD,50,2020-01-01,2023-06-01,1000,DQN,True,0.71
AMD,50,2020-01-01,2023-06-01,1000,DQN,False,0.96
AMD,50,2020-01-01,2023-06-01,10000,DQN,True,0.66
AMD,50,2020-01-01,2023-06-01,10000,DQN,False,1.0
