ticker,algorithm,profit,window_size,iteration
BIIB,A2C,0.09,10,100
BIIB,A2C,0.38,30,100
BIIB,A2C,0.18,50,100
BIIB,DQN,0.5,10,100
BIIB,DQN,0.79,30,100
BIIB,DQN,0.48,50,100
BIIB,PPO,0.11,10,100
BIIB,PPO,0.13,30,100
BIIB,PPO,0.13,50,100
CVX,A2C,0.85,10,100000
CVX,A2C,1.11,30,100000
CVX,A2C,0.71,50,100000
CVX,DQN,0.75,10,100000
CVX,DQN,1.01,30,100000
CVX,DQN,0.91,50,100000
CVX,PPO,0.49,10,100000
CVX,PPO,0.39,30,100000
CVX,PPO,0.9,50,100000
FRT,A2C,0.11,10,100
FRT,A2C,0.16,30,100
FRT,A2C,0.19,50,100
FRT,DQN,0.68,10,100
FRT,DQN,0.64,30,100
FRT,DQN,0.36,50,100
FRT,PPO,0.09,10,100
FRT,PPO,0.17,30,100
FRT,PPO,0.12,50,100
GEN,A2C,0.11,10,100
GEN,A2C,0.14,30,100
GEN,A2C,0.21,50,100
GEN,DQN,0.67,10,100
GEN,DQN,0.65,30,100
GEN,DQN,0.55,50,100
GEN,PPO,0.1,10,100
GEN,PPO,0.14,30,100
GEN,PPO,0.13,50,100
GL,A2C,0.14,10,40000
GL,A2C,0.2,10,40000
GL,A2C,0.3,10,100000
GL,A2C,0.14,30,40000
GL,A2C,0.16,30,40000
GL,A2C,1.15,30,100000
GL,A2C,0.72,50,100000
GL,DQN,0.17,10,40000
GL,DQN,0.17,10,40000
GL,DQN,0.76,10,100000
GL,DQN,0.33,30,100000
GL,DQN,0.42,50,100000
GL,PPO,0.05,10,40000
GL,PPO,0.19,10,40000
GL,PPO,0.14,10,100000
GL,PPO,0.16,30,100000
GL,PPO,0.25,50,100000
KDP,A2C,0.15,10,100
KDP,A2C,0.09,30,100
KDP,A2C,0.16,50,100
KDP,DQN,0.54,10,100
KDP,DQN,0.84,30,100
KDP,DQN,0.52,50,100
KDP,PPO,0.1,10,100
KDP,PPO,0.12,30,100
KDP,PPO,0.14,50,100
MCD,A2C,0.23,10,100000
MCD,A2C,0.17,30,100000
MCD,A2C,0.26,50,100000
MCD,DQN,0.48,10,100000
MCD,DQN,0.45,30,100000
MCD,DQN,0.67,50,100000
MCD,PPO,0.2,10,100000
MCD,PPO,0.21,30,100000
MCD,PPO,0.3,50,100000
MRO,A2C,0.22,10,100000
MRO,A2C,0.4,30,100000
MRO,A2C,0.85,50,100000
MRO,DQN,0.31,10,100000
MRO,DQN,0.99,30,100000
MRO,DQN,0.89,50,100000
MRO,PPO,0.16,10,100000
MRO,PPO,0.24,30,100000
MRO,PPO,0.34,50,100000
NFLX,A2C,0.12,10,10000
NFLX,A2C,0.14,10,10000
NFLX,A2C,0.29,10,100000
NFLX,A2C,0.32,10,100000
NFLX,A2C,0.37,10,100000
NFLX,A2C,0.68,30,100000
NFLX,A2C,0.51,50,100000
NFLX,DQN,0.13,10,10000
NFLX,DQN,0.13,10,10000
NFLX,DQN,0.13,10,100000
NFLX,DQN,0.45,30,100000
NFLX,DQN,0.73,50,100000
NFLX,PPO,0.14,10,10000
NFLX,PPO,0.21,10,10000
NFLX,PPO,0.17,10,100000
NFLX,PPO,0.61,30,100000
NFLX,PPO,0.47,50,100000
O,A2C,0.13,10,100
O,A2C,0.13,30,100
O,A2C,0.12,50,100
O,DQN,0.42,10,100
O,DQN,0.79,30,100
O,DQN,0.6,50,100
O,PPO,0.12,10,100
O,PPO,0.12,30,100
O,PPO,0.11,50,100
OKE,A2C,0.3,10,100
OKE,A2C,0.27,30,100
OKE,A2C,0.2,50,100
OKE,DQN,0.85,10,100
OKE,DQN,0.77,30,100
OKE,DQN,0.38,50,100
OKE,PPO,0.16,10,100
OKE,PPO,0.17,30,100
OKE,PPO,0.15,50,100
PEP,A2C,0.14,10,100000
PEP,A2C,0.2,30,100000
PEP,A2C,0.16,50,100000
PEP,DQN,0.88,10,100000
PEP,DQN,0.8,30,100000
PEP,DQN,0.96,50,100000
PEP,PPO,0.45,10,100000
PEP,PPO,0.38,30,100000
PEP,PPO,0.17,50,100000
REG,A2C,0.14,10,100
REG,A2C,0.14,30,100
REG,A2C,0.13,50,100
REG,DQN,0.38,10,100
REG,DQN,0.78,30,100
REG,DQN,0.41,50,100
REG,PPO,0.09,10,100
REG,PPO,0.16,30,100
REG,PPO,0.13,50,100
TRGP,A2C,0.17,10,100
TRGP,A2C,0.21,30,100
TRGP,A2C,0.25,50,100
TRGP,DQN,0.71,10,100
TRGP,DQN,0.83,30,100
TRGP,DQN,0.8,50,100
TRGP,PPO,0.19,10,100
TRGP,PPO,0.19,30,100
TRGP,PPO,0.19,50,100
YUM,A2C,0.12,10,100
YUM,A2C,0.19,30,100
YUM,A2C,0.14,50,100
YUM,DQN,0.76,10,100
YUM,DQN,0.78,30,100
YUM,DQN,0.71,50,100
YUM,PPO,0.11,10,100
YUM,PPO,0.17,30,100
YUM,PPO,0.18,50,100
